Rating,Review Count,Product URL
4.1 out of 5 stars,75,https://www.amazon.in//Dell-Inspiron-i3-1005G1-Integrated-D560421WIN9S/dp/B08X4NB38M/ref=sr_1_74?dchild=1&keywords=laptop&qid=1624540825&sr=8-74
4.4 out of 5 stars,19,https://www.amazon.in//ASUS-Laptop-M515DA-BQ501T-Ryzen-Windows/dp/B08CKRS42M/ref=sr_1_75?dchild=1&keywords=laptop&qid=1624540825&sr=8-75
4.2 out of 5 stars,8,https://www.amazon.in//Dell-Inspiron-15-6-inch-i5-1135G7-Windows/dp/B08Y6XG7K1/ref=sr_1_76?dchild=1&keywords=laptop&qid=1624540825&sr=8-76
4.1 out of 5 stars,10,https://www.amazon.in//ASUS-VivoBook15-i3-1115G4-15-6-inch-X515EA-EJ312TS/dp/B0916C2XM3/ref=sr_1_77?dchild=1&keywords=laptop&qid=1624540825&sr=8-77
4.3 out of 5 stars,320,https://www.amazon.in//HP-Pavilion-15-6-inch-5-4600H-15-ec1051AX/dp/B08CYTHY92/ref=sr_1_78?dchild=1&keywords=laptop&qid=1624540825&sr=8-78
4.0 out of 5 stars,1,https://www.amazon.in//HP-255-G8-3K1G7PA-Graphics/dp/B091TWZF2Y/ref=sr_1_79?dchild=1&keywords=laptop&qid=1624540825&sr=8-79
,N/A,https://www.amazon.in//Renewed-Lenovo-Thinkpad-Hybrid-Laptop/dp/B097C3VXN8/ref=sr_1_80?dchild=1&keywords=laptop&qid=1624540825&sr=8-80
,N/A,https://www.amazon.in//Lenovo-Windows-Microsoft-Student-82C500X8IH/dp/B095YTYHR7/ref=sr_1_81?dchild=1&keywords=laptop&qid=1624540827&sr=8-81
,N/A,https://www.amazon.in//MSI-Modern-14-Ryzen-4500U/dp/B096WFNCBW/ref=sr_1_82?dchild=1&keywords=laptop&qid=1624540827&sr=8-82
3.8 out of 5 stars,58,https://www.amazon.in//Lenovo-14-inch-Laptop-Windows-82C4015VIH/dp/B08BXY8R8Z/ref=sr_1_83?dchild=1&keywords=laptop&qid=1624540827&sr=8-83
,N/A,https://www.amazon.in//Renewed-Lenovo-Thinkpad-Hybrid-Laptop/dp/B097C48VNS/ref=sr_1_84?dchild=1&keywords=laptop&qid=1624540827&sr=8-84
3.6 out of 5 stars,407,https://www.amazon.in//Lenovo-Ideapad-Windows-Platinum-81W100HKIN/dp/B08CQG6PDK/ref=sr_1_85?dchild=1&keywords=laptop&qid=1624540827&sr=8-85
,N/A,https://www.amazon.in//Renewed-MSI-i5-10210U-39-62cms-A10M-482IN/dp/B097K8716G/ref=sr_1_86?dchild=1&keywords=laptop&qid=1624540827&sr=8-86
3.5 out of 5 stars,17,https://www.amazon.in//Lenovo-V15-15-6-inch-Graphics-82C70017IH/dp/B08DYB7D8J/ref=sr_1_87?dchild=1&keywords=laptop&qid=1624540827&sr=8-87
4.1 out of 5 stars,27,https://www.amazon.in//HP-Processor-15-6-inch-Graphics-15s-dr3500TX/dp/B0928T6QM3/ref=sr_1_88?dchild=1&keywords=laptop&qid=1624540827&sr=8-88
4.8 out of 5 stars,6,https://www.amazon.in//Lenovo-IdeaPad-Backlit-Fingerprint-82KT00BXIN/dp/B096SKFBCF/ref=sr_1_89?dchild=1&keywords=laptop&qid=1624540827&sr=8-89
3.8 out of 5 stars,43,https://www.amazon.in//LifeDigital-Laptop-Intel%C2%AE-Storage-Windows/dp/B08HRHFV1Q/ref=sr_1_90?dchild=1&keywords=laptop&qid=1624540827&sr=8-90
3.9 out of 5 stars,310,https://www.amazon.in//HP-39-62cms-i5-1135G7-Integrated-15s-du3032TU/dp/B08PQPRD69/ref=sr_1_91?dchild=1&keywords=laptop&qid=1624540827&sr=8-91
4.0 out of 5 stars,1,https://www.amazon.in//Renewed-Lenovo-Intel-15-6-Inch-Laptop/dp/B08XZYZG4B/ref=sr_1_92?dchild=1&keywords=laptop&qid=1624540827&sr=8-92
3.4 out of 5 stars,36,https://www.amazon.in//Dell-Inspiron-15-6-inch-Laptop-Graphics/dp/B08KWJ4G4R/ref=sr_1_93?dchild=1&keywords=laptop&qid=1624540827&sr=8-93
3.7 out of 5 stars,8,https://www.amazon.in//Dell-Inspiron-i3-1115G4-Integrated-D560424WIN9S/dp/B0919HLGYC/ref=sr_1_94?dchild=1&keywords=laptop&qid=1624540827&sr=8-94
3.8 out of 5 stars,195,https://www.amazon.in//ASUS-i5-1035G1-Integrated-Transparent-X409JA-EK581T/dp/B08BV8RKGB/ref=sr_1_95?dchild=1&keywords=laptop&qid=1624540827&sr=8-95
3.0 out of 5 stars,5,https://www.amazon.in//Inspiron-15-6-inch-Laptop-Graphics-Windows/dp/B08MQ1DCGX/ref=sr_1_96?dchild=1&keywords=laptop&qid=1624540827&sr=8-96
3.9 out of 5 stars,97,https://www.amazon.in//Lenovo-Touchscreen-Fingerprint-Graphite-82HS008YIN/dp/B08W9WK8Q9/ref=sr_1_97?dchild=1&keywords=laptop&qid=1624540830&sr=8-97
4.3 out of 5 stars,19,https://www.amazon.in//Lenovo-Touchscreen-Fingerprint-Aluminium-82BH004HIN/dp/B08P3M22QQ/ref=sr_1_98?dchild=1&keywords=laptop&qid=1624540830&sr=8-98
4.4 out of 5 stars,118,https://www.amazon.in//ASUS-VivoBook-i5-1135G7-Graphics-S433EA-AM502TS/dp/B08SNHVK6F/ref=sr_1_99?dchild=1&keywords=laptop&qid=1624540830&sr=8-99
3.9 out of 5 stars,7,https://www.amazon.in//Lenovo-Intel-14-inch-Laptop-82C4A00NIH/dp/B08DFRKHLL/ref=sr_1_100?dchild=1&keywords=laptop&qid=1624540830&sr=8-100
,N/A,https://www.amazon.in//HP-Laptop-3K9U2PA-Windows-Warranty/dp/B095KJN2TT/ref=sr_1_101?dchild=1&keywords=laptop&qid=1624540830&sr=8-101
3.7 out of 5 stars,65,https://www.amazon.in//Dell-Inspiron-15-6-inch-Laptop-Graphics/dp/B08MB4PXCW/ref=sr_1_102?dchild=1&keywords=laptop&qid=1624540830&sr=8-102
3.4 out of 5 stars,653,https://www.amazon.in//Lenovo-Ideapad-Windows-Platinum-81W10057IN/dp/B087D3JHGB/ref=sr_1_103?dchild=1&keywords=laptop&qid=1624540830&sr=8-103
